created_at,id,id_str,text,full_text,truncated,entities,source,in_reply_to_status_id,in_reply_to_status_id_str,in_reply_to_user_id,in_reply_to_user_id_str,in_reply_to_screen_name,geo,coordinates,place,contributors,is_quote_status,retweet_count,favorite_count,favorited,favorited_by,retweeted,scopes,lang,possibly_sensitive,display_text_width,display_text_range,retweeted_status,quoted_status,quoted_status_id,quoted_status_id_str,quoted_status_permalink,quote_count,timestamp_ms,reply_count,filter_level,metadata,query,withheld_scope,withheld_copyright,withheld_in_countries,possibly_sensitive_appealable
2023-03-15T14:14:34Z,1636007988996497400,1636007988996497408,"On Friday 10th March, the Green Army team has conducted thorough weeding at Geta Forest tree nursery in Nyandarua county. This remains a crucial nursery procedure as it fastens the seedlings 
#DKFGreeningKenya
@evakimathi @Dedankm https://t.co/zOVoy6QRZh","On Friday 10th March, the Green Army team has conducted thorough weeding at Geta Forest tree nursery in Nyandarua county. This remains a crucial nursery procedure as it fastens the seedlings 
#DKFGreeningKenya
@evakimathi @Dedankm https://t.co/zOVoy6QRZh",FALSE,,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>",NA,NA,NA,NA,NA,,,,NA,FALSE,1,0,FALSE,NA,FALSE,NA,en,FALSE,NA,230,,,NA,NA,NA,NA,NA,NA,NA,,NA,NA,NA,,NA
2023-03-15T14:14:34Z,163600798751599e4,1636007987515990017,@DollArntzen It's all a green new Dilusion!,@DollArntzen It's all a green new Dilusion!,FALSE,,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>",1635785420993855500,1635785420993855488,857978774469529600,857978774469529601,DollArntzen,,,,NA,FALSE,0,1,FALSE,NA,FALSE,NA,en,NA,NA,43,,,NA,NA,NA,NA,NA,NA,NA,,NA,NA,NA,,NA
2023-03-15T14:14:34Z,1636007986337558500,1636007986337558533,"RT @LicypriyaK: #Breaking: My birthplace Manipur is a rich biodiversity hotspot surrounded by lush green mountains. Today, people are strug…","RT @LicypriyaK: #Breaking: My birthplace Manipur is a rich biodiversity hotspot surrounded by lush green mountains. Today, people are strug…",FALSE,,"<a href=""http://twitter.com/#!/download/ipad"" rel=""nofollow"">Twitter for iPad</a>",NA,NA,NA,NA,NA,,,,NA,FALSE,280,0,FALSE,NA,FALSE,NA,en,NA,NA,140,,,NA,NA,NA,NA,NA,NA,NA,,NA,NA,NA,,NA
2023-03-15T14:14:33Z,1636007985272213500,1636007985272213509,"RT @fasc1nate: A woman in the Philippines spent four years praying to a green ""Buddha"" figure she purchased from a store, until one day a f…","RT @fasc1nate: A woman in the Philippines spent four years praying to a green ""Buddha"" figure she purchased from a store, until one day a f…",FALSE,,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",NA,NA,NA,NA,NA,,,,NA,FALSE,26057,0,FALSE,NA,FALSE,NA,en,NA,NA,140,,,NA,NA,NA,NA,NA,NA,NA,,NA,NA,NA,,NA
2023-03-15T14:14:32Z,1636007978024444e3,1636007978024443904,RT @samira_insan: Saint Dr Gurmeet Ram Rahim Singh Ji Insan and millions of his followers have taken a pledge to make India a clean and gre…,RT @samira_insan: Saint Dr Gurmeet Ram Rahim Singh Ji Insan and millions of his followers have taken a pledge to make India a clean and gre…,FALSE,,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>",NA,NA,NA,NA,NA,,,,NA,FALSE,10,0,FALSE,NA,FALSE,NA,en,NA,NA,140,,,NA,NA,NA,NA,NA,NA,NA,,NA,NA,NA,,NA
2023-03-15T14:14:32Z,1636007977407635500,1636007977407635457,"RT @CarolineLucas: We have clean, green, abundant &amp; affordable renewables at our fingertips – onshore &amp; offshore wind, tidal, solar. Yet Go…","RT @CarolineLucas: We have clean, green, abundant &amp; affordable renewables at our fingertips – onshore &amp; offshore wind, tidal, solar. Yet Go…",FALSE,,"<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>",NA,NA,NA,NA,NA,,,,NA,FALSE,661,0,FALSE,NA,FALSE,NA,en,NA,NA,148,,,NA,NA,NA,NA,NA,NA,NA,,NA,NA,NA,,NA
2023-03-15T14:14:30Z,1636007971032567800,1636007971032567809,Wow! Green Juice Girl Goes to the Grocery Store for the 8th Time this Week. Spoiler Alert: It’s Only Tuesday,Wow! Green Juice Girl Goes to the Grocery Store for the 8th Time this Week. Spoiler Alert: It’s Only Tuesday,FALSE,,"<a href=""https://cheapbotsdonequick.com"" rel=""nofollow"">Cheap Bots, Done Quick!</a>",NA,NA,NA,NA,NA,,,,NA,FALSE,0,0,FALSE,NA,FALSE,NA,en,NA,NA,108,,,NA,NA,NA,NA,NA,NA,NA,,NA,NA,NA,,NA
2023-03-15T14:14:30Z,1636007970092863500,1636007970092863488,Bad bitches wear green…I see someone couldn’t relate 😭 https://t.co/X8doCFGMFp,Bad bitches wear green…I see someone couldn’t relate 😭 https://t.co/X8doCFGMFp,FALSE,,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",NA,NA,NA,NA,NA,,,,NA,TRUE,0,6,FALSE,NA,FALSE,NA,en,TRUE,NA,54,,,1635820581013651500,1635820581013651463,NA,NA,NA,NA,NA,,NA,NA,NA,,NA
2023-03-15T14:14:29Z,1636007965101637600,1636007965101637635,Where is the green agenda now? 🤦🏻‍♂️ https://t.co/U72u9G9CRJ,Where is the green agenda now? 🤦🏻‍♂️ https://t.co/U72u9G9CRJ,FALSE,,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",NA,NA,NA,NA,NA,,,,NA,TRUE,0,0,FALSE,NA,FALSE,NA,en,FALSE,NA,36,,,1635802063006474200,1635802063006474240,NA,NA,NA,NA,NA,,NA,NA,NA,,NA
2023-03-15T14:14:29Z,1636007964875038700,1636007964875038722,"@StarkWastlander @TANAKH_613 @ericareport Murdoch in the Dominion Law Suit Case testified that his stars on Fox News lied to the public about Mass voter fraud.  He said it was all about the green not red and blue.  Also, the Fox hosts said in private text that there wasn’t mass voter fraud. Actually called it crazy.","@StarkWastlander @TANAKH_613 @ericareport Murdoch in the Dominion Law Suit Case testified that his stars on Fox News lied to the public about Mass voter fraud.  He said it was all about the green not red and blue.  Also, the Fox hosts said in private text that there wasn’t mass voter fraud. Actually called it crazy.",FALSE,,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",1635678377741889500,1635678377741889544,1599192196661518300,1599192196661518336,StarkWastlander,,,,NA,FALSE,0,0,FALSE,NA,FALSE,NA,en,NA,NA,317,,,NA,NA,NA,NA,NA,NA,NA,,NA,NA,NA,,NA
